club,opponent,round,was_home,date
ARS,NEW,1,,
AVL,TOT,1,,
BOU,SHU,1,,
BHA,WAT,1,,
BUR,SOU,1,,
CHE,MUN,1,,
CRY,EVE,1,,
EVE,CRY,1,,
LEI,WOL,1,,
LIV,NOR,1,,
MCI,WHU,1,,
MUN,CHE,1,,
NEW,ARS,1,,
NOR,LIV,1,,
SHU,BOU,1,,
SOU,BUR,1,,
TOT,AVL,1,,
WAT,BHA,1,,
WHU,MCI,1,,
WOL,LEI,1,,
ARS,BUR,2,,
AVL,BOU,2,,
BOU,AVL,2,,
BHA,WHU,2,,
BUR,ARS,2,,
CHE,LEI,2,,
CRY,SHU,2,,
EVE,WAT,2,,
LEI,CHE,2,,
LIV,SOU,2,,
MCI,TOT,2,,
MUN,WOL,2,,
NEW,NOR,2,,
NOR,NEW,2,,
SHU,CRY,2,,
SOU,LIV,2,,
TOT,MCI,2,,
WAT,EVE,2,,
WHU,BHA,2,,
WOL,MUN,2,,
ARS,LIV,3,,
AVL,EVE,3,,
BOU,MCI,3,,
BHA,SOU,3,,
BUR,WOL,3,,
CHE,NOR,3,,
CRY,MUN,3,,
EVE,AVL,3,,
LEI,SHU,3,,
LIV,ARS,3,,
MCI,BOU,3,,
MUN,CRY,3,,
NEW,TOT,3,,
NOR,CHE,3,,
SHU,LEI,3,,
SOU,BHA,3,,
TOT,NEW,3,,
WAT,WHU,3,,
WHU,WAT,3,,
WOL,BUR,3,,
ARS,TOT,4,,
AVL,CRY,4,,
BOU,LEI,4,,
BHA,MCI,4,,
BUR,LIV,4,,
CHE,SHU,4,,
CRY,AVL,4,,
EVE,WOL,4,,
LEI,BOU,4,,
LIV,BUR,4,,
MCI,BHA,4,,
MUN,SOU,4,,
NEW,WAT,4,,
NOR,WHU,4,,
SHU,CHE,4,,
SOU,MUN,4,,
TOT,ARS,4,,
WAT,NEW,4,,
WHU,NOR,4,,
WOL,EVE,4,,
ARS,WAT,5,,
AVL,WHU,5,,
BOU,EVE,5,,
BHA,BUR,5,,
BUR,BHA,5,,
CHE,WOL,5,,
CRY,TOT,5,,
EVE,BOU,5,,
LEI,MUN,5,,
LIV,NEW,5,,
MCI,NOR,5,,
MUN,LEI,5,,
NEW,LIV,5,,
NOR,MCI,5,,
SHU,SOU,5,,
SOU,SHU,5,,
TOT,CRY,5,,
WAT,ARS,5,,
WHU,AVL,5,,
WOL,CHE,5,,
ARS,AVL,6,,
AVL,ARS,6,,
BOU,SOU,6,,
BHA,NEW,6,,
BUR,NOR,6,,
CHE,LIV,6,,
CRY,WOL,6,,
EVE,SHU,6,,
LEI,TOT,6,,
LIV,CHE,6,,
MCI,WAT,6,,
MUN,WHU,6,,
NEW,BHA,6,,
NOR,BUR,6,,
SHU,EVE,6,,
SOU,BOU,6,,
TOT,LEI,6,,
WAT,MCI,6,,
WHU,MUN,6,,
WOL,CRY,6,,
ARS,MUN,7,,
AVL,BUR,7,,
BOU,WHU,7,,
BHA,CHE,7,,
BUR,AVL,7,,
CHE,BHA,7,,
CRY,NOR,7,,
EVE,MCI,7,,
LEI,NEW,7,,
LIV,SHU,7,,
MCI,EVE,7,,
MUN,ARS,7,,
NEW,LEI,7,,
NOR,CRY,7,,
SHU,LIV,7,,
SOU,TOT,7,,
TOT,SOU,7,,
WAT,WOL,7,,
WHU,BOU,7,,
WOL,WAT,7,,
ARS,BOU,8,,
AVL,NOR,8,,
BOU,ARS,8,,
BHA,TOT,8,,
BUR,EVE,8,,
CHE,SOU,8,,
CRY,WHU,8,,
EVE,BUR,8,,
LEI,LIV,8,,
LIV,LEI,8,,
MCI,WOL,8,,
MUN,NEW,8,,
NEW,MUN,8,,
NOR,AVL,8,,
SHU,WAT,8,,
SOU,CHE,8,,
TOT,BHA,8,,
WAT,SHU,8,,
WHU,CRY,8,,
WOL,MCI,8,,
ARS,SHU,9,,
AVL,BHA,9,,
BOU,NOR,9,,
BHA,AVL,9,,
BUR,LEI,9,,
CHE,NEW,9,,
CRY,MCI,9,,
EVE,WHU,9,,
LEI,BUR,9,,
LIV,MUN,9,,
MCI,CRY,9,,
MUN,LIV,9,,
NEW,CHE,9,,
NOR,BOU,9,,
SHU,ARS,9,,
SOU,WOL,9,,
TOT,WAT,9,,
WAT,TOT,9,,
WHU,EVE,9,,
WOL,SOU,9,,
ARS,CRY,10,,
AVL,MCI,10,,
BOU,WAT,10,,
BHA,EVE,10,,
BUR,CHE,10,,
CHE,BUR,10,,
CRY,ARS,10,,
EVE,BHA,10,,
LEI,SOU,10,,
LIV,TOT,10,,
MCI,AVL,10,,
MUN,NOR,10,,
NEW,WOL,10,,
NOR,MUN,10,,
SHU,WHU,10,,
SOU,LEI,10,,
TOT,LIV,10,,
WAT,BOU,10,,
WHU,SHU,10,,
WOL,NEW,10,,
ARS,WOL,11,,
AVL,LIV,11,,
BOU,MUN,11,,
BHA,NOR,11,,
BUR,SHU,11,,
CHE,WAT,11,,
CRY,LEI,11,,
EVE,TOT,11,,
LEI,CRY,11,,
LIV,AVL,11,,
MCI,SOU,11,,
MUN,BOU,11,,
NEW,WHU,11,,
NOR,BHA,11,,
SHU,BUR,11,,
SOU,MCI,11,,
TOT,EVE,11,,
WAT,CHE,11,,
WHU,NEW,11,,
WOL,ARS,11,,
ARS,LEI,12,,
AVL,WOL,12,,
BOU,NEW,12,,
BHA,MUN,12,,
BUR,WHU,12,,
CHE,CRY,12,,
CRY,CHE,12,,
EVE,SOU,12,,
LEI,ARS,12,,
LIV,MCI,12,,
MCI,LIV,12,,
MUN,BHA,12,,
NEW,BOU,12,,
NOR,WAT,12,,
SHU,TOT,12,,
SOU,EVE,12,,
TOT,SHU,12,,
WAT,NOR,12,,
WHU,BUR,12,,
WOL,AVL,12,,
ARS,SOU,13,,
AVL,NEW,13,,
BOU,WOL,13,,
BHA,LEI,13,,
BUR,WAT,13,,
CHE,MCI,13,,
CRY,LIV,13,,
EVE,NOR,13,,
LEI,BHA,13,,
LIV,CRY,13,,
MCI,CHE,13,,
MUN,SHU,13,,
NEW,AVL,13,,
NOR,EVE,13,,
SHU,MUN,13,,
SOU,ARS,13,,
TOT,WHU,13,,
WAT,BUR,13,,
WHU,TOT,13,,
WOL,BOU,13,,
ARS,NOR,14,,
AVL,MUN,14,,
BOU,TOT,14,,
BHA,LIV,14,,
BUR,CRY,14,,
CHE,WHU,14,,
CRY,BUR,14,,
EVE,LEI,14,,
LEI,EVE,14,,
LIV,BHA,14,,
MCI,NEW,14,,
MUN,AVL,14,,
NEW,MCI,14,,
NOR,ARS,14,,
SHU,WOL,14,,
SOU,WAT,14,,
TOT,BOU,14,,
WAT,SOU,14,,
WHU,CHE,14,,
WOL,SHU,14,,
ARS,BHA,15,,
AVL,CHE,15,,
BOU,CRY,15,,
BHA,ARS,15,,
BUR,MCI,15,,
CHE,AVL,15,,
CRY,BOU,15,,
EVE,LIV,15,,
LEI,WAT,15,,
LIV,EVE,15,,
MCI,BUR,15,,
MUN,TOT,15,,
NEW,SHU,15,,
NOR,SOU,15,,
SHU,NEW,15,,
SOU,NOR,15,,
TOT,MUN,15,,
WAT,LEI,15,,
WHU,WOL,15,,
WOL,WHU,15,,
ARS,WHU,16,,
AVL,LEI,16,,
BOU,LIV,16,,
BHA,WOL,16,,
BUR,TOT,16,,
CHE,EVE,16,,
CRY,WAT,16,,
EVE,CHE,16,,
LEI,AVL,16,,
LIV,BOU,16,,
MCI,MUN,16,,
MUN,MCI,16,,
NEW,SOU,16,,
NOR,SHU,16,,
SHU,NOR,16,,
SOU,NEW,16,,
TOT,BUR,16,,
WAT,CRY,16,,
WHU,ARS,16,,
WOL,BHA,16,,
ARS,MCI,17,,
AVL,SHU,17,,
BOU,CHE,17,,
BHA,CRY,17,,
BUR,NEW,17,,
CHE,BOU,17,,
CRY,BHA,17,,
EVE,MUN,17,,
LEI,NOR,17,,
LIV,WAT,17,,
MCI,ARS,17,,
MUN,EVE,17,,
NEW,BUR,17,,
NOR,LEI,17,,
SHU,AVL,17,,
SOU,WHU,17,,
TOT,WOL,17,,
WAT,LIV,17,,
WHU,SOU,17,,
WOL,TOT,17,,
ARS,EVE,18,,
AVL,SOU,18,,
BOU,BUR,18,,
BHA,SHU,18,,
BUR,BOU,18,,
CHE,TOT,18,,
CRY,NEW,18,,
EVE,ARS,18,,
LEI,MCI,18,,
MCI,LEI,18,,
MUN,WAT,18,,
NEW,CRY,18,,
NOR,WOL,18,,
SHU,BHA,18,,
SOU,AVL,18,,
TOT,CHE,18,,
WAT,MUN,18,,
WOL,NOR,18,,
ARS,BOU,19,FALSE,26-12-2019 15:00
AVL,NOR,19,TRUE,26-12-2019 15:00
BOU,ARS,19,TRUE,26-12-2019 15:00
BHA,TOT,19,FALSE,26-12-2019 12:30
BUR,EVE,19,FALSE,26-12-2019 15:00
CHE,SOU,19,TRUE,26-12-2019 15:00
CRY,WHU,19,TRUE,26-12-2019 15:00
EVE,BUR,19,TRUE,26-12-2019 15:00
LEI,LIV,19,TRUE,26-12-2019 20:00
LIV,LEI,19,FALSE,26-12-2019 20:00
MCI,WOL,19,FALSE,27-12-2019 19:45
MUN,NEW,19,TRUE,26-12-2019 17:30
NEW,MUN,19,FALSE,26-12-2019 17:30
NOR,AVL,19,FALSE,26-12-2019 15:00
SHU,WAT,19,TRUE,26-12-2019 15:00
SOU,CHE,19,FALSE,26-12-2019 15:00
TOT,BHA,19,TRUE,26-12-2019 12:30
WAT,SHU,19,FALSE,26-12-2019 15:00
WHU,CRY,19,FALSE,26-12-2019 15:00
WOL,MCI,19,TRUE,27-12-2019 19:45
ARS,CHE,20,TRUE,29-12-2019 14:00
AVL,WAT,20,FALSE,28-12-2019 15:00
BOU,BHA,20,FALSE,28-12-2019 12:30
BHA,BOU,20,TRUE,28-12-2019 12:30
BUR,MUN,20,TRUE,28-12-2019 19:45
CHE,ARS,20,FALSE,29-12-2019 14:00
CRY,SOU,20,FALSE,28-12-2019 15:00
EVE,NEW,20,FALSE,28-12-2019 15:00
LEI,WHU,20,FALSE,28-12-2019 17:30
LIV,WOL,20,TRUE,29-12-2019 16:30
MCI,SHU,20,TRUE,29-12-2019 18:00
MUN,BUR,20,FALSE,28-12-2019 19:45
NEW,EVE,20,TRUE,28-12-2019 15:00
NOR,TOT,20,TRUE,28-12-2019 17:30
SHU,MCI,20,FALSE,29-12-2019 18:00
SOU,CRY,20,TRUE,28-12-2019 15:00
TOT,NOR,20,FALSE,28-12-2019 17:30
WAT,AVL,20,TRUE,28-12-2019 15:00
WHU,LEI,20,TRUE,28-12-2019 17:30
WOL,LIV,20,FALSE,29-12-2019 16:30
ARS,MUN,21,TRUE,1-1-2020 20:00
AVL,BUR,21,FALSE,1-1-2020 12:30
BOU,WHU,21,FALSE,1-1-2020 15:00
BHA,CHE,21,TRUE,1-1-2020 12:30
BUR,AVL,21,TRUE,1-1-2020 12:30
CHE,BHA,21,FALSE,1-1-2020 12:30
CRY,NOR,21,FALSE,1-1-2020 15:00
EVE,MCI,21,FALSE,1-1-2020 15:00
LEI,NEW,21,FALSE,1-1-2020 15:00
LIV,SHU,21,TRUE,2-1-2020 18:00
MCI,EVE,21,TRUE,1-1-2020 17:30
MUN,ARS,21,FALSE,1-1-2020 20:00
NEW,LEI,21,TRUE,1-1-2020 15:00
NOR,CRY,21,TRUE,1-1-2020 15:00
SHU,LIV,21,FALSE,2-1-2020 18:00
SOU,TOT,21,TRUE,1-1-2020 15:00
TOT,SOU,21,FALSE,1-1-2020 15:00
WAT,WOL,21,TRUE,1-1-2020 15:00
WHU,BOU,21,TRUE,1-1-2020 15:00
WOL,WAT,21,FALSE,1-1-2020 15:00
ARS,CRY,22,FALSE,11-1-2020 12:30
AVL,MCI,22,TRUE,12-1-2020 16:30
BOU,WAT,22,TRUE,12-1-2020 14:00
BHA,EVE,22,FALSE,11-1-2020 15:00
BUR,CHE,22,FALSE,11-1-2020 15:00
CHE,BUR,22,TRUE,11-1-2020 15:00
CRY,ARS,22,TRUE,11-1-2020 12:30
EVE,BHA,22,TRUE,11-1-2020 15:00
LEI,SOU,22,TRUE,11-1-2020 15:00
LIV,TOT,22,FALSE,11-1-2020 17:30
MCI,AVL,22,FALSE,12-1-2020 16:30
MUN,NOR,22,TRUE,11-1-2020 15:00
NEW,WOL,22,FALSE,11-1-2020 15:00
NOR,MUN,22,FALSE,11-1-2020 15:00
SHU,WHU,22,TRUE,10-1-2020 20:00
SOU,LEI,22,FALSE,11-1-2020 15:00
TOT,LIV,22,TRUE,11-1-2020 17:30
WAT,BOU,22,FALSE,12-1-2020 14:00
WHU,SHU,22,FALSE,10-1-2020 20:00
WOL,NEW,22,TRUE,11-1-2020 15:00
ARS,SHU,23,TRUE,18-1-2020 15:00
AVL,BHA,23,FALSE,18-1-2020 15:00
BOU,NOR,23,FALSE,18-1-2020 15:00
BHA,AVL,23,TRUE,18-1-2020 15:00
BUR,LEI,23,TRUE,19-1-2020 14:00
CHE,NEW,23,FALSE,18-1-2020 17:30
CRY,MCI,23,FALSE,18-1-2020 15:00
EVE,WHU,23,FALSE,18-1-2020 15:00
LEI,BUR,23,FALSE,19-1-2020 14:00
LIV,MUN,23,TRUE,19-1-2020 16:30
MCI,CRY,23,TRUE,18-1-2020 15:00
MUN,LIV,23,FALSE,19-1-2020 16:30
NEW,CHE,23,TRUE,18-1-2020 17:30
NOR,BOU,23,TRUE,18-1-2020 15:00
SHU,ARS,23,FALSE,18-1-2020 15:00
SOU,WOL,23,TRUE,18-1-2020 15:00
TOT,WAT,23,FALSE,18-1-2020 12:30
WAT,TOT,23,TRUE,18-1-2020 12:30
WHU,EVE,23,TRUE,18-1-2020 15:00
WOL,SOU,23,FALSE,18-1-2020 15:00
ARS,CHE,24,FALSE,21-01-2020 20:15
AVL,WAT,24,TRUE,21-01-2020 19:30
BOU,BHA,24,TRUE,21-01-2020 19:30
BHA,BOU,24,FALSE,21-01-2020 19:30
BUR,MUN,24,FALSE,22-01-2020 20:15
CHE,ARS,24,TRUE,21-01-2020 20:15
CRY,SOU,24,TRUE,21-01-2020 19:30
EVE,NEW,24,TRUE,21-01-2020 19:30
LEI,WHU,24,TRUE,22-01-2020 19:30
LIV,WOL,24,FALSE,23-01-2020 20:00
MCI,SHU,24,FALSE,21-01-2020 19:30
MUN,BUR,24,TRUE,22-01-2020 20:15
NEW,EVE,24,FALSE,21-01-2020 19:30
NOR,TOT,24,FALSE,22-01-2020 19:30
SHU,MCI,24,TRUE,21-01-2020 19:30
SOU,CRY,24,FALSE,21-01-2020 19:30
TOT,NOR,24,TRUE,22-01-2020 19:30
WAT,AVL,24,FALSE,21-01-2020 19:30
WHU,LEI,24,FALSE,22-01-2020 19:30
WOL,LIV,24,TRUE,23-01-2020 20:00
LIV,WHU,24,FALSE,29-01-2020 19:45
WHU,LIV,24,TRUE,29-01-2020 19:45
ARS,BUR,25,FALSE,2-2-2020 14:00
AVL,BOU,25,TRUE,1-2-2020 15:00
BOU,AVL,25,FALSE,1-2-2020 15:00
BHA,WHU,25,TRUE,1-2-2020 15:00
